Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
BAP5493,BAP5493,4.75,Filtro Bilateral
ELS7575,ELS7575,7.91,Filtro Bilateral
ELS7575,ELS7575,9.81,Filtro Bilateral
KRF8219,KRF8219,12.37,Filtro Bilateral
PWY3G12,PWY3G12,10.39,Filtro Bilateral
GIU0480,G100480,12.94,Filtro Bilateral
ALE8602,ALE8692,9.11,Filtro Bilateral
BAG7751,B4G7751,6.96,Filtro Bilateral
BAG7751,B4G7751,6.33,Filtro Bilateral
BAJ4441,BAJ4442,6.41,Filtro Bilateral
CHS9564,CHS9564,11,Filtro Bilateral
DHR0445,DHR0445,9.76,Filtro Bilateral
DSQ6618,DSQ668,11.14,Filtro Bilateral
DSQ6618,DSO6618,8.94,Filtro Bilateral
EBX5983,EBX5993,8.48,Filtro Bilateral
EUC8989,EUG89PG,12.09,Filtro Bilateral
HEX0049,HEX0049,11.77,Filtro Bilateral
EZG3164,EZG3164,10.13,Filtro Bilateral
FJY9514,JY954,9.92,Filtro Bilateral
FJY9514,FJY9514,11.18,Filtro Bilateral
FJY9514,FJY954,9.97,Filtro Bilateral
FLU1772,FLUT72,11.02,Filtro Bilateral
HNK7624,HNKF7624,12.05,Filtro Bilateral
DIC6B71,DIC6B71,34.25,Filtro Bilateral
DRJ5E67,DRJSE67,32.85,Filtro Bilateral
KHP3734,KHP3734,5.93,Filtro Bilateral
KHP3734,KHP3734,5.81,Filtro Bilateral
KHU8544,KHU8544,7.24,Filtro Bilateral
KHU8544,KHU8544,5.93,Filtro Bilateral
KHU8544,KHU8544,7.18,Filtro Bilateral
KNT6338,KNT6338,7.49,Filtro Bilateral
KPG7782,KPG7782,5.91,Filtro Bilateral
KRO5833,KRO5893,7.52,Filtro Bilateral
KRY2202,KRY2202,6.4,Filtro Bilateral
KVN3064,KVN3064,9.96,Filtro Bilateral
KWH9388,KHH9388,5.53,Filtro Bilateral
KXK5970,KXK5970,5.89,Filtro Bilateral
KXN4504,KXN4504,5.83,Filtro Bilateral
KXO7789,KXO7789,9.99,Filtro Bilateral
KXW1558,KXH558,9.42,Filtro Bilateral
KXZ7710,KXZ7710,7.35,Filtro Bilateral
KYF5354,KYF5354,06.07,Filtro Bilateral
KYR7214,KYR7214,5.65,Filtro Bilateral
KZC2920,KZC2920,6.36,Filtro Bilateral
KZD2666,KZD2666,5.85,Filtro Bilateral
KZF2386,KZF2386,7.4,Filtro Bilateral
LKY8848,LKY8048,5.63,Filtro Bilateral
LLA4612,1LA4612,5.54,Filtro Bilateral
LLX5122,LLK5I?2,5.62,Filtro Bilateral
LOY9267,7LOY9267,5.39,Filtro Bilateral
LPL7589,LPL7589,7.52,Filtro Bilateral
LPO1876,LPO876,6.91,Filtro Bilateral
LQY5719,LQY5719,7.6,Filtro Bilateral
LRE5870,LRE5870,07.09,Filtro Bilateral
LRL9445,LRL9445,5.75,Filtro Bilateral
LRN0207,LRN0207,6.22,Filtro Bilateral
LRN4497,LRN4497,5.69,Filtro Bilateral
LRN9470,LR39470,07.04,Filtro Bilateral
LSE4008,LSE4008,6.35,Filtro Bilateral
LSN0460,LSN0460,6.16,Filtro Bilateral
LTP3486,LTP3486,7.52,Filtro Bilateral
LUF4444,ILUF4444,7.90,Filtro Bilateral
OIP4357,0IP4357,5.65,Filtro Bilateral
OQK5526,OOK5526,5.71,Filtro Bilateral
OWO7837,0WO7837,5.48,Filtro Bilateral
OXI8882,OXI8882,5.46,Filtro Bilateral
OYV6433,OYV6433,7,Filtro Bilateral
OYV6433,OYV6433,5.22,Filtro Bilateral
PCP6336,PCP6336,6.83,Filtro Bilateral
PCZ4081,PCZ4081,5.68,Filtro Bilateral
PDF3945,PDF3945,6.36,Filtro Bilateral
PDF3945,P0F3945,6.38,Filtro Bilateral
PDK9448,PDK9448,6.1,Filtro Bilateral
PDK9448,PDK9440,7.28,Filtro Bilateral
PDK9448,PDK9448,7.54,Filtro Bilateral
PDZ0097,PDZ0097,08.03,Filtro Bilateral
PDZ0097,PDZ0097,7.42,Filtro Bilateral
PDZ0097,PDZ0097,5.68,Filtro Bilateral
PFF7622,PFF7622,5.62,Filtro Bilateral
PFF7622,PFF7622,5.85,Filtro Bilateral
PFF7622,PFF7622,6.69,Filtro Bilateral
PFG7997,PFG7997,5.97,Filtro Bilateral
PFG7997,PFG7997,6.83,Filtro Bilateral
PFG7997,PFG7997,6.52,Filtro Bilateral
PFU6000,PFU6000,5.81,Filtro Bilateral
PFU6000,PFU6000,7.68,Filtro Bilateral
PGB1322,PGB1322,5.67,Filtro Bilateral
PGB1322,PGB1322,7.74,Filtro Bilateral
PGR8325,PGR8325,6.92,Filtro Bilateral
PGR8325,PGR8325,5.56,Filtro Bilateral
HCY2684,HCY2684,4.96,Filtro Bilateral
PUV5373,PUY5373,5.4,Filtro Bilateral
PUV5373,PUY5373,5.48,Filtro Bilateral
PVA8569,PVA8569,6.89,Filtro Bilateral
PVK3268,PVK3268,7,Filtro Bilateral
PVK3268,PVK3268,07.03,Filtro Bilateral
PVK3268,PVK3268,8.56,Filtro Bilateral
PXJ8256,PXJ8256,07.09,Filtro Bilateral
PXJ8256,PXJ8256,6.82,Filtro Bilateral
PXJ8256,PXJ8256,7.81,Filtro Bilateral
PXK0457,PXK0457,6.42,Filtro Bilateral
PXK0457,PXK0457,5.97,Filtro Bilateral
PXK0457,PXK0457,6.9,Filtro Bilateral
PXK0480,PXK0480,5.71,Filtro Bilateral
PXK0480,PXK0480,5.59,Filtro Bilateral
PXY0360,PXY0360,5.49,Filtro Bilateral
