Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
BAP5493,BAP5493,8.79,CLAHE em RGB
ELS7575,ELS7575,10.38,CLAHE em RGB
ELS7575,ELS7575,15.02,CLAHE em RGB
KRF8219,KRF0219,11.27,CLAHE em RGB
PWY3G12,P1Y3GI2,16.08,CLAHE em RGB
GIU0480,G110480,8.93,CLAHE em RGB
ALE8602,ALE8602,8.98,CLAHE em RGB
BAG7751,B4G775,9.45,CLAHE em RGB
BAG7751,B4G7751,6.43,CLAHE em RGB
BAJ4441,B4J44AL,10.95,CLAHE em RGB
CHS9564,76HS9564,14.12,CLAHE em RGB
DHR0445,DHR0445,14.68,CLAHE em RGB
DSQ6618,DSO6618,14.16,CLAHE em RGB
DSQ6618,0SO6618,34.1,CLAHE em RGB
EBX5983,EBX5983,15.07,CLAHE em RGB
EUC8989,EUG890G,12.49,CLAHE em RGB
HEX0049,HEX0D49,19.32,CLAHE em RGB
EZG3164,EZ63164,13.77,CLAHE em RGB
FJY9514,FJY954,12.36,CLAHE em RGB
FJY9514,FJY9514,15.44,CLAHE em RGB
FJY9514,FJY9514,15.61,CLAHE em RGB
FLU1772,FLUT772,14.06,CLAHE em RGB
HNK7624,HNK7624,16.13,CLAHE em RGB
DIC6B71,DIC6B71,45.99,CLAHE em RGB
DRJ5E67,DRJSE67,36.37,CLAHE em RGB
KHP3734,KHP3734,7.35,CLAHE em RGB
KHP3734,KHP3734,7.42,CLAHE em RGB
KHU8544,KHU8544,5.88,CLAHE em RGB
KHU8544,KHU8544,7.61,CLAHE em RGB
KHU8544,KHU8544,10.22,CLAHE em RGB
KNT6338,KNT6338,5.83,CLAHE em RGB
KPG7782,KPG7782,7.37,CLAHE em RGB
KRO5833,KRO5E?3,5.63,CLAHE em RGB
KRY2202,KRY2202,7.94,CLAHE em RGB
KVN3064,KVN3064,5.55,CLAHE em RGB
KWH9388,KHH9388,6.53,CLAHE em RGB
KXK5970,KXK5970,7.55,CLAHE em RGB
KXN4504,KXN4504,6.79,CLAHE em RGB
KXO7789,KYO7789,5.68,CLAHE em RGB
KXW1558,KXH558,5.29,CLAHE em RGB
KXZ7710,KXZ7710,6.52,CLAHE em RGB
