Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
BAP5493,BAP5493,6.82,Escala de Cinza
ELS7575,ELS7575,6.51,Escala de Cinza
ELS7575,ELS7575,11.97,Escala de Cinza
KRF8219,KRF8219,10.37,Escala de Cinza
PWY3G12,PIY3G12,19.01,Escala de Cinza
GIU0480,G100480,6.16,Escala de Cinza
ALE8602,ALE8602,10.89,Escala de Cinza
BAG7751,B4G775,8.63,Escala de Cinza
BAG7751,B4G7751,16.47,Escala de Cinza
BAJ4441,BAJ4442,5.45,Escala de Cinza
CHS9564,86HS9564,14.86,Escala de Cinza
DHR0445,DHR0445,14.03,Escala de Cinza
DSQ6618,DSO6618,12.32,Escala de Cinza
DSQ6618,DSO6618,41.05,Escala de Cinza
EBX5983,EBX5983,13.45,Escala de Cinza
EUC8989,EUC8989,12.26,Escala de Cinza
HEX0049,HEX0049,15.3,Escala de Cinza
EZG3164,EZG3164,14.07,Escala de Cinza
FJY9514,FJY954,13.2,Escala de Cinza
FJY9514,FJY9514,13.78,Escala de Cinza
FJY9514,FJY954,12.54,Escala de Cinza
FLU1772,FL1712,14.01,Escala de Cinza
HNK7624,HNK7624,12,Escala de Cinza
DIC6B71,DIC6B71,52.08,Escala de Cinza
DRJ5E67,DRJ5E67,33.08,Escala de Cinza
KHP3734,KHP3734,5.74,Escala de Cinza
KHP3734,KHP3734,5.91,Escala de Cinza
KHU8544,KHU8544,7.13,Escala de Cinza
KHU8544,KHU8544,5.79,Escala de Cinza
KHU8544,KHU8544,15.04,Escala de Cinza
KNT6338,KNT6338,7.52,Escala de Cinza
KPG7782,KPG7782,5.74,Escala de Cinza
KRO5833,KRO5893,7.79,Escala de Cinza
KRY2202,KRY2202,13.12,Escala de Cinza
KVN3064,KVN3064,8.91,Escala de Cinza
KWH9388,KHH9388,6.1,Escala de Cinza
KXK5970,KXK5970,5.83,Escala de Cinza
KXN4504,KXN4504,5.58,Escala de Cinza
KXO7789,KXO7789,7.13,Escala de Cinza
KXW1558,KXH558,07.09,Escala de Cinza
KXZ7710,KXZ7710,8.58,Escala de Cinza
KYF5354,KYF5354,5.77,Escala de Cinza
KYR7214,KYR7214,5.73,Escala de Cinza
KZC2920,KZC2920,5.64,Escala de Cinza
KZD2666,KZD2666,9.41,Escala de Cinza
KZF2386,KZF2986,7.4,Escala de Cinza
LKY8848,LKY8848,5.55,Escala de Cinza
LLA4612,1LA4612,7.83,Escala de Cinza
LLX5122,LLX5I227,5.6,Escala de Cinza
LOY9267,LOY267,5.79,Escala de Cinza
LPL7589,LPL7589,7.27,Escala de Cinza
LPO1876,LPO876,7.12,Escala de Cinza
LQY5719,LOY5719,6.67,Escala de Cinza
LRE5870,LRE5870,6.57,Escala de Cinza
LRL9445,LRL9445,5.6,Escala de Cinza
LRN0207,LRN0207,6.76,Escala de Cinza
LRN4497,LRN4497,5.67,Escala de Cinza
LRN9470,LR39470,7.16,Escala de Cinza
LSE4008,LSE4008,5.67,Escala de Cinza
LSN0460,LSN0460,5.82,Escala de Cinza
LTP3486,LTP3486,6.66,Escala de Cinza
LUF4444,ILUF4444,07.02,Escala de Cinza
OIP4357,0IP4357,5.98,Escala de Cinza
OQK5526,OQK5526,5.71,Escala de Cinza
OWO7837,0WO7837,5.24,Escala de Cinza
OXI8882,OXI8882,5.43,Escala de Cinza
OYV6433,OYV6433,6.46,Escala de Cinza
OYV6433,OYV6433,5.22,Escala de Cinza
PCP6336,PCP6336,6.8,Escala de Cinza
PCZ4081,PCZ4081,5.82,Escala de Cinza
PDF3945,PQF3945,6.7,Escala de Cinza
PDF3945,P0F3945,07.07,Escala de Cinza
PDK9448,PDK9448,5.92,Escala de Cinza
PDK9448,PDK9448,7.4,Escala de Cinza
PDK9448,PDK9448,7.16,Escala de Cinza
PDZ0097,PDZ0097,7.29,Escala de Cinza
PDZ0097,PDZ0097,6.64,Escala de Cinza
PDZ0097,PDZ0097,5.65,Escala de Cinza
PFF7622,PFF7622,5.52,Escala de Cinza
PFF7622,PFF7622,6.36,Escala de Cinza
PFF7622,PFF7622,7.41,Escala de Cinza
PFG7997,PFG7991,7,Escala de Cinza
PFG7997,PFG7997,7.65,Escala de Cinza
PFG7997,PFG7997,5.91,Escala de Cinza
PFU6000,PFU6000,5.56,Escala de Cinza
PFU6000,PFU6000,6.91,Escala de Cinza
PGB1322,PGB322,6,Escala de Cinza
PGB1322,PGB1322,7.45,Escala de Cinza
PGR8325,PGR8325,7.4,Escala de Cinza
PGR8325,PGR8325,10.93,Escala de Cinza
HCY2684,HCY2684,3.1,Escala de Cinza
PUV5373,PUY5373,7.31,Escala de Cinza
PUV5373,PUY5373,5.58,Escala de Cinza
PVA8569,PVA8569,7.24,Escala de Cinza
PVK3268,PVK3268,5.98,Escala de Cinza
PVK3268,PVK3268,5.44,Escala de Cinza
PVK3268,PVK3268,5.55,Escala de Cinza
PXJ8256,PXJB256,7.59,Escala de Cinza
PXJ8256,PXJ8256,06.03,Escala de Cinza
PXJ8256,PXJ8256,7.54,Escala de Cinza
PXK0457,PXK0457,12.27,Escala de Cinza
PXK0457,PXK0457,7.13,Escala de Cinza
PXK0457,PXK0457,09.06,Escala de Cinza
PXK0480,PXK0480,6.57,Escala de Cinza
PXK0480,PXK0480,5.26,Escala de Cinza
PXY0360,PXY0360,5.52,Escala de Cinza
