Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
BAP5493,BAP5493,7.84,Nenhuma
ELS7575,ELS7575,8.35,Nenhuma
ELS7575,ELS7575,11.65,Nenhuma
KRF8219,KRF8219,10.53,Nenhuma
PWY3G12,P1Y3G12,16.11,Nenhuma
GIU0480,G100480,7.96,Nenhuma
ALE8602,ALE8602,6.81,Nenhuma
BAG7751,B4G775,7.52,Nenhuma
BAG7751,B4G7751,27.42,Nenhuma
BAJ4441,BAJ4442,14.38,Nenhuma
CHS9564,86HS9564,9.28,Nenhuma
DHR0445,DHR0445,12.87,Nenhuma
DSQ6618,DSO6618,11.48,Nenhuma
DSQ6618,DSO6618,11.95,Nenhuma
EBX5983,EBX5993,13.64,Nenhuma
EUC8989,EUC8989,12.01,Nenhuma
HEX0049,HEX0049,11.41,Nenhuma
EZG3164,EZG3164,12.37,Nenhuma
FJY9514,FJY954,13.99,Nenhuma
FJY9514,FJY9514,12.66,Nenhuma
FJY9514,FJY9514,14.11,Nenhuma
FLU1772,FLUT772,10.06,Nenhuma
HNK7624,HNK7624,11.17,Nenhuma
DIC6B71,DIC6B71,71.03,Nenhuma
DRJ5E67,DRJSE67,42.24,Nenhuma
KHP3734,KHP3734,7.45,Nenhuma
KHP3734,KHP3734,7.65,Nenhuma
KHU8544,KHU8544,6.12,Nenhuma
KHU8544,KHU8544,7.45,Nenhuma
KHU8544,KHU8544,13.31,Nenhuma
KNT6338,KNT6338,6.34,Nenhuma
KPG7782,KPG7782,8.1,Nenhuma
KRO5833,KRO5E93,5.93,Nenhuma
KRY2202,KRY2202,6.79,Nenhuma
KVN3064,KVN3064,5.94,Nenhuma
KWH9388,KHH9388,8.83,Nenhuma
KXK5970,KXK5970,08.08,Nenhuma
KXN4504,KXN4504,7.46,Nenhuma
KXO7789,KXO7789F,5.74,Nenhuma
KXW1558,KXW558,6.55,Nenhuma
KXZ7710,KXZ7710,7.23,Nenhuma
KYF5354,KYF5354,7.54,Nenhuma
KYR7214,KYR7214,6.4,Nenhuma
KZC2920,KZC2920,7.56,Nenhuma
KZD2666,KZD2666,06.01,Nenhuma
KZF2386,KZF2986,7.31,Nenhuma
LKY8848,LKY8848,7.64,Nenhuma
LLA4612,1LA4612,7.23,Nenhuma
LLX5122,LLX5I22,8.15,Nenhuma
LOY9267,LOY267,7.1,Nenhuma
LPL7589,LPL7589,6.5,Nenhuma
LPO1876,LPO876,5.84,Nenhuma
LQY5719,LOY5719,6.6,Nenhuma
LRE5870,LRE5870,6.64,Nenhuma
LRL9445,LRL9445,7.31,Nenhuma
LRN0207,LRN0207,5.65,Nenhuma
LRN4497,LRN4497,8.23,Nenhuma
LRN9470,LR39470,5.49,Nenhuma
LSE4008,LSE4008,6.93,Nenhuma
LSN0460,LSN0460,7.45,Nenhuma
LTP3486,LTP3486,6.76,Nenhuma
LUF4444,LUF4444,7.36,Nenhuma
OIP4357,01P4357,5.46,Nenhuma
OQK5526,OQK5526,7.29,Nenhuma
OWO7837,0WO7837,6.7,Nenhuma
OXI8882,OXI8882,6.98,Nenhuma
OYV6433,OYV6433,5.51,Nenhuma
OYV6433,OYV6433,6.9,Nenhuma
PCP6336,PCP6336,5.18,Nenhuma
PCZ4081,PCZ4081,6.47,Nenhuma
PDF3945,PQF3945,5.98,Nenhuma
PDF3945,PDF3945,5.76,Nenhuma
PDK9448,PDK9448,7.76,Nenhuma
PDK9448,PDK9448,5.71,Nenhuma
PDK9448,PDK9448,6.41,Nenhuma
PDZ0097,PDZ0097,5.72,Nenhuma
PDZ0097,PDZ0097,6.4,Nenhuma
PDZ0097,PDZ0097,8.66,Nenhuma
PFF7622,PFF7622,7.39,Nenhuma
PFF7622,PFF7622,6.78,Nenhuma
PFF7622,PFF7622,06.09,Nenhuma
PFG7997,PFG7991,6.58,Nenhuma
PFG7997,PFG7997,5.83,Nenhuma
PFG7997,PFG7997,7.7,Nenhuma
PFU6000,PFU6000,7.88,Nenhuma
PFU6000,PFU6000,6.27,Nenhuma
PGB1322,PGB322,5.41,Nenhuma
PGB1322,PGB1322,5.7,Nenhuma
PGR8325,PGR8325,6.13,Nenhuma
PGR8325,PGR8325,13.62,Nenhuma
HCY2684,HCY2684,5.75,Nenhuma
PUV5373,PUY5373,7.44,Nenhuma
PUV5373,PUY5373,7.73,Nenhuma
PVA8569,PVA8569,5.83,Nenhuma
PVK3268,PVK3268,6.42,Nenhuma
PVK3268,PVK3268,6.69,Nenhuma
PVK3268,PVK3268,8.61,Nenhuma
PXJ8256,PXJ8256,8.56,Nenhuma
PXJ8256,PXJ8256,7.73,Nenhuma
PXJ8256,PXJ8256,9.21,Nenhuma
PXK0457,PXK0457,9.95,Nenhuma
PXK0457,PXK0457,8.63,Nenhuma
PXK0457,PXK0457,5.94,Nenhuma
PXK0480,PXK0480,5.46,Nenhuma
PXK0480,PXK0480,7.25,Nenhuma
PXY0360,PXY0360,5.92,Nenhuma
