Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
BAP5493,BAP5493,3.35,Todos
ELS7575,ELS7575,8.71,Todos
ELS7575,ELS7575,6.7,Todos
KRF8219,KRF8219,5.52,Todos
PWY3G12,PWY3G12,6.18,Todos
GIU0480,61U@480,14.05,Todos
ALE8602,ALE8602,7.68,Todos
BAG7751,B4G7751,9.61,Todos
BAG7751,B4G7751,5.38,Todos
BAJ4441,BAJ4442,8.1,Todos
CHS9564,ICHS956,13.76,Todos
DHR0445,DHR0445,7.39,Todos
DSQ6618,DSO6618,6.19,Todos
DSQ6618,DSO6618,07.03,Todos
EBX5983,EBX5983,7.32,Todos
EUC8989,89091,6.25,Todos
HEX0049,HEX0049,8.26,Todos
EZG3164,E2G3164,6.87,Todos
FJY9514,JY954,6.89,Todos
FJY9514,FJY9514,5.78,Todos
FJY9514,FJY9514,06.06,Todos
FLU1772,FLT772,5.11,Todos
HNK7624,HNK7624,6.74,Todos
DIC6B71,DIC6B71,32.31,Todos
DRJ5E67,DRJ5E67,31.47,Todos
KHP3734,KHP3734,7.27,Todos
KHP3734,KHP3734,7.51,Todos
KHU8544,KHU8544,6.19,Todos
KHU8544,KHU8544,7.36,Todos
KHU8544,KHU8544,6.13,Todos
KNT6338,KNT6338,5.86,Todos
KPG7782,KPG7782,7.44,Todos
KRO5833,KRO5E93,5.82,Todos
KRY2202,KRY2202,8.78,Todos
KVN3064,KVN3064,14.46,Todos
KWH9388,KHH9388,07.03,Todos
KXK5970,KXK5970,6.76,Todos
KXN4504,KXN4504,5.75,Todos
KXO7789,KXO7789,5.66,Todos
KXW1558,KXW1558,5.71,Todos
KXZ7710,KXZ7710,5.59,Todos
KYF5354,KYF5354,7.31,Todos
KYR7214,KYR7214,7.11,Todos
KZC2920,KZC2920,5.64,Todos
KZD2666,KZD2666,7.42,Todos
KZF2386,KZF2386,5.63,Todos
LKY8848,LKY8048,7.53,Todos
LLA4612,LLA4612,7.41,Todos
LLX5122,LLK5I?2,07.09,Todos
LOY9267,LOY9287,7.1,Todos
LPL7589,LPL7589,5.71,Todos
LPO1876,LPO1876,5.67,Todos
LQY5719,LQY5719,5.69,Todos
LRE5870,LRE5870,5.8,Todos
LRL9445,LRL9445,7.25,Todos
LRN0207,LRN0207,6.84,Todos
LRN4497,LRN4497,7.37,Todos
LRN9470,LR39470,5.56,Todos
LSE4008,LSE4008,7.36,Todos
LSN0460,LSN0460,6.95,Todos
LTP3486,LTP3486,5.64,Todos
LUF4444,LUF4444,6.71,Todos
OIP4357,0IP4357,7.42,Todos
OQK5526,OOK5526,7.49,Todos
OWO7837,0WO7837,5.1,Todos
OXI8882,OXI8882,6.34,Todos
OYV6433,OYV6433,5.19,Todos
OYV6433,OYV6433,06.06,Todos
PCP6336,PCP6336,5.35,Todos
PCZ4081,PCZ4081,7.13,Todos
PDF3945,PDF3945,6.84,Todos
PDF3945,PDF3945,6.3,Todos
PDK9448,PDK9448,6.78,Todos
PDK9448,PDK9448,5.82,Todos
PDK9448,PDK9448,5.97,Todos
PDZ0097,PDZ0097,5.65,Todos
PDZ0097,PDZ0097,5.65,Todos
PDZ0097,PDZ0097,7.28,Todos
PFF7622,PFF7622,6.48,Todos
PFF7622,PFF7622,7.28,Todos
PFF7622,PFF7622,6.34,Todos
PFG7997,PFG7997,7.15,Todos
PFG7997,PFG7997,6.39,Todos
PFG7997,PFG7997,5.87,Todos
PFU6000,PFU6000,7.63,Todos
PFU6000,PFU6000,5.72,Todos
PGB1322,PGB1322,7.44,Todos
PGB1322,PGB1322,6,Todos
PGR8325,PGR8325,5.61,Todos
PGR8325,PGR8325,6.37,Todos
HCY2684,HLY2684,3.14,Todos
PUV5373,PUV5373,7.12,Todos
PUV5373,PUV5373,07.02,Todos
PVA8569,PVA8569,5.6,Todos
PVK3268,PVK3268,5.27,Todos
PVK3268,PVK3268,5.17,Todos
PVK3268,PVK3268,14.86,Todos
PXJ8256,PXJ8256,6.12,Todos
PXJ8256,PXJ8256,5.78,Todos
PXJ8256,PXJ8256,5.54,Todos
PXK0457,PXK0457,6.25,Todos
PXK0457,PXK0457,7.8,Todos
PXK0457,PXK0457,6.45,Todos
PXK0480,PXK0480,6.95,Todos
PXK0480,PXK0480,5.46,Todos
PXY0360,PXY0360,7.36,Todos
